Symbol,Annual Liquidity
PCG,-4.43
WST,-6.89
WBA,-2.39
CDW,-4.52
HPQ,-2.94
WTW,-4.05
ACGL,-4.64
URI,-1.06
CEG,-6.4
TROW,-6.59
IT,-2.71
EFX,-4.17
ALB,1.68
EBAY,-4.15
ALGN,-4.75
LYB,-2.64
GPC,-5.97
PWR,-2.21
AVB,-4.84
FTV,-4.14
IFF,-6.01
VMC,-2.18
IR,1.44
CBRE,-2.14
AEE,-2.85
PODD,-8.11
WY,-2.5
HIG,-5.25
ETR,-3.56
DAL,-2.5
CHD,-2.96
FE,-3.18
MPWR,-2.36
MLM,-2.99
EXR,1.14
MKC,-2.64
DTE,-2.65
HPE,-3.29
FSLR,-2.73
TDY,-5.43
BAX,-1.35
LH,-3.54
DOV,-5.29
EQR,-6.51
PPL,-3.57
HOLX,-5.49
CAH,-3.89
VRSN,-3.28
CTRA,-4.12
MTB,-4.72
ARE,-5.8
OMC,-4.4
TTWO,-4.71
CLX,-3.06
STE,-6.63
LVS,-4.94
LUV,-4.37
DRI,-2.78
CNP,-2.33
NDAQ,-2.65
COO,-4.33
XYL,-2.61
SWKS,-3.4
NTRS,-5.03
WAT,-2.71
INVH,-4.92
CAG,1.09
CMS,1.09
WAB,-2.09
CINF,-5.44
FITB,-3.14
RJF,-4.43
TSN,-3.31
FICO,-10.89
MAA,-5.07
K,-3.47
RF,-3.27
STLD,-2.25
BALL,-3.97
EXPD,-5.34
VTR,-2.57
BR,-3.97
AMCR,-4.58
TRGP,-3.93
PKI,-3.79
IEX,-3.56
SJM,-4.29
EPAM,-1.71
NVR,-2.94
PFG,-2.13
SEDG,-1.92
MRO,-2.01
TER,-2.88
DGX,-3.0
ATO,-2.98
AES,-4.05
ZBRA,-5.44
MOH,-2.44
MOS,-2.77
FDS,-3.17
HBAN,-3.69
BBY,-2.43
HWM,-2.14
GRMN,-6.26
IRM,-4.47
FMC,-2.91
FLT,-4.91
TYL,-4.62
LW,-1.96
MKTX,1.57
J,-6.6
TXT,-2.92
IPG,-1.76
AVY,-3.82
CFG,-1.85
CF,-3.12
CBOE,-4.38
PAYC,-3.97
BG,-2.99
JBHT,-3.48
LKQ,-8.11
RE,-4.48
MGM,-3.55
EVRG,-3.45
EXPE,-2.99
RCL,-3.31
UAL,-2.06
ETSY,-2.8
NTAP,-2.29
BRO,-4.18
PTC,-3.38
INCY,-3.81
PHM,-4.37
ESS,-5.91
LNT,-2.57
PKG,-4.05
POOL,-2.01
IP,-4.04
STX,-5.16
WRB,-5.2
SYF,-2.45
SNA,-1.93
TRMB,-5.46
UDR,-3.79
LDOS,-3.64
APA,-2.7
AKAM,-6.39
TFX,-4.41
PEAK,-3.12
KIM,-4.42
EQT,-3.7
HRL,-2.76
DPZ,-3.41
WYNN,-3.15
TECH,-5.13
VTRS,-1.29
HST,-5.17
NDSN,-4.74
WDC,-1.72
CPT,-5.07
SWK,-2.54
BWA,-3.29
CTLT,-5.97
NI,-3.47
HSIC,-3.72
CHRW,-3.59
CPB,-2.79
CDAY,-3.43
KEY,-1.54
JNPR,-4.31
L,-4.84
MAS,-2.31
PARA,-2.77
JKHY,-4.26
CE,-4.42
MTCH,-2.18
FOXA,-3.12
CZR,-2.06
KMX,-2.77
TPR,-2.65
CRL,-6.95
QRVO,-3.19
CCL,-3.12
EMN,-4.06
LYV,-4.03
BIO,-6.65
GEN,-4.34
TAP,-3.74
GL,-3.46
REG,-6.87
AAL,-2.42
ALLE,-1.92
PNW,-3.44
PNR,-4.13
ROL,-2.21
FFIV,-2.77
RHI,-4.1
AOS,-2.89
XRAY,-3.44
BBWI,-4.19
HII,-4.97
UHS,-4.94
NRG,-6.38
BEN,-3.48
WRK,-5.25
BXP,-2.98
VFC,-4.44
AAP,-4.08
FRT,-6.39
IVZ,-4.33
WHR,-2.84
SEE,-2.12
NWSA,-4.66
HAS,-5.57
GNRC,-1.93
AIZ,-3.87
OGN,-3.74
DXC,-3.42
NCLH,-2.84
CMA,-1.69
ALK,-2.36
MHK,-3.29
RL,-2.54
NWL,-4.55
DVA,-4.44
FOX,-6.26
ZION,-1.04
LNC,-2.01
FRC,-1.86
NWS,-5.91
DISH,-2.64
