Symbol,Annual Trend
A,-20.99
NEM,-33.61
MNST,-0.79
TEL,-12.5
IDXX,-70.13
TT,-22.58
BIIB,-28.85
SYY,-13.78
O,-12.3
CTAS,-12.77
JCI,-12.38
HES,-18.7
TRV,-24.17
TDG,-38.55
DOW,-17.78
HSY,0.0
MET,-19.07
ROST,-14.58
LHX,-66.46
XEL,-6.78
HLT,-28.99
YUM,-0.76
AIG,-15.65
COF,-49.76
PCAR,-6.26
CHTR,-217.59
IQV,-57.56
SPG,-23.81
NUE,-42.16
ILMN,-137.91
AFL,-9.28
WMB,-8.13
CARR,-6.08
STZ,-39.72
CNC,-32.74
PAYX,-31.77
KMI,-2.62
DVN,-26.28
MTD,-66.97
ED,-3.45
ON,-9.68
OTIS,-6.88
WBD,-12.5
WELL,-27.16
EA,-16.54
CMI,-30.9
BK,-7.3
VICI,-3.11
CPRT,-0.66
PPG,-0.9
RMD,-31.29
KR,-13.18
DD,-8.37
AME,-9.55
AMP,-59.04
ROK,-31.31
FIS,-53.13
DLTR,-27.76
CTSH,-28.15
PEG,-12.45
KHC,-5.73
DHI,-5.88
FAST,-6.99
PRU,-39.94
HAL,-10.6
ALL,-29.42
KDP,-5.43
WEC,-10.48
VRSK,-28.77
ODFL,-55.02
GWW,-56.04
GEHC,-0.82
BKR,-9.15
OKE,-9.4
APTV,-17.56
ANSS,-5.52
AWK,-23.23
KEYS,-32.26
ULTA,-6.77
RSG,-11.66
SBAC,-119.42
CSGP,-17.22
ENPH,-138.3
ES,-14.01
GPN,-42.15
ZBH,-5.87
EIX,-1.29
DLR,-60.69
TSCO,-3.13
ABC,-7.15
LEN,-4.27
DFS,-23.18
GLW,-3.2
STT,-19.78
FANG,-25.21
PCG,-0.52
WST,-74.28
WBA,-11.25
CDW,-25.64
HPQ,-11.77
WTW,-22.55
ACGL,-3.78
URI,-122.26
CEG,-20.95
TROW,-42.6
IT,-40.86
EFX,-31.43
ALB,-133.43
EBAY,-11.97
ALGN,-106.83
LYB,-23.87
GPC,-23.09
PWR,-6.48
AVB,-91.49
FTV,-4.58
IFF,-44.93
VMC,-29.81
IR,-5.41
CBRE,-20.07
AEE,-10.22
PODD,-6.81
WY,-13.05
HIG,-9.97
ETR,-16.18
DAL,-12.64
CHD,-14.79
FE,-7.54
MPWR,-62.15
MLM,-41.58
EXR,-61.04
MKC,-18.96
DTE,-28.41
HPE,-1.15
FSLR,-10.53
TDY,-56.19
BAX,-38.77
LH,-46.93
DOV,-16.08
EQR,-34.6
PPL,-3.39
HOLX,-4.62
CAH,-3.02
VRSN,-10.2
CTRA,-11.22
MTB,-75.98
ARE,-82.08
OMC,-2.52
TTWO,-30.51
CLX,-1.95
STE,-62.43
LVS,-3.26
LUV,-18.6
DRI,-2.31
CNP,-3.17
NDAQ,-14.14
COO,-51.36
XYL,-17.52
SWKS,-14.49
NTRS,-28.95
WAT,-63.8
INVH,-12.95
CAG,-2.51
CMS,-11.66
WAB,-10.28
CINF,-32.09
FITB,-16.13
RJF,-36.12
TSN,-39.19
FICO,-18.44
MAA,-67.74
K,-9.02
RF,-5.91
STLD,-31.81
BALL,-35.35
EXPD,-12.93
VTR,-19.89
BR,-39.43
AMCR,-2.32
TRGP,-6.64
PKI,-39.8
IEX,-23.54
SJM,-5.06
EPAM,-173.32
NVR,-50.0
PFG,-23.36
SEDG,-82.15
MRO,-7.69
TER,-15.17
DGX,-15.09
ATO,-8.85
AES,-5.65
ZBRA,-118.54
MOH,-91.57
MOS,-32.94
FDS,-61.32
HBAN,-4.71
BBY,-20.93
HWM,-2.14
GRMN,-17.38
IRM,-5.73
FMC,-19.33
FLT,-57.14
TYL,-83.09
LW,-0.41
MKTX,-11.91
J,-36.98
TXT,-7.31
IPG,-2.32
AVY,-27.99
CFG,-16.22
CF,-47.03
CBOE,0.0
PAYC,-109.52
BG,-34.27
JBHT,-28.82
LKQ,-3.73
RE,-32.69
MGM,-2.3
EVRG,-10.45
EXPE,-103.64
RCL,-23.71
UAL,-12.45
ETSY,-41.11
NTAP,-18.01
BRO,-15.26
PTC,-12.46
INCY,-12.42
PHM,-2.04
ESS,-153.64
LNT,-10.71
PKG,-28.89
POOL,-148.98
IP,-14.68
STX,-23.4
WRB,-14.04
SYF,-13.03
SNA,-24.24
TRMB,-22.84
UDR,-18.99
LDOS,-18.74
APA,-13.8
AKAM,-45.51
TFX,-88.26
PEAK,-13.86
KIM,-7.32
EQT,-19.15
HRL,-13.76
DPZ,-93.96
WYNN,-5.22
TECH,-39.28
VTRS,-2.71
HST,-5.45
NDSN,-37.24
WDC,-27.68
CPT,-71.52
SWK,-70.78
BWA,-4.03
CTLT,-52.9
NI,-4.01
HSIC,-9.54
CHRW,-25.8
CPB,-2.12
CDAY,-7.44
KEY,-10.5
JNPR,-2.8
L,-11.88
MAS,-9.72
PARA,-15.6
JKHY,-62.92
CE,-55.65
MTCH,-69.89
FOXA,-6.2
CZR,-27.34
KMX,-42.87
TPR,-5.49
CRL,-109.91
QRVO,-24.77
CCL,-10.74
EMN,-31.34
LYV,-45.73
BIO,-139.27
GEN,-10.11
TAP,-7.65
GL,-15.69
REG,-12.78
AAL,-7.28
ALLE,-23.6
PNW,-0.02
PNR,-7.26
ROL,-4.33
FFIV,-67.49
RHI,-41.31
AOS,-5.65
XRAY,-10.11
BBWI,-21.85
HII,-50.13
UHS,-29.42
NRG,-13.79
BEN,-7.69
WRK,-24.77
BXP,-76.28
VFC,-36.79
AAP,-109.97
FRT,-29.86
IVZ,-6.58
WHR,-68.91
SEE,-22.9
NWSA,-4.92
HAS,-41.69
GNRC,-206.27
AIZ,-75.65
OGN,-15.49
DXC,-11.13
NCLH,-9.87
CMA,-51.33
ALK,-19.75
MHK,-63.92
RL,-13.54
NWL,-12.55
DVA,-42.38
FOX,-5.93
ZION,-38.89
LNC,-48.48
FRC,-157.24
NWS,-5.02
DISH,-25.14
