Symbol,0
NKE,negative spread: -0.05 points. This is a good time to sell.
NEE,negative spread: -0.01 points. This is a good time to sell.
PM,positive spread: +0.02 points. This is a good time to buy.
BMY,negative spread: -0.01 points. This is a good time to sell.
RTX,neutral spread: 0.0 points.
ORCL,negative spread: -0.08 points. This is a good time to sell.
WFC,negative spread: -0.01 points. This is a good time to sell.
T,negative spread: -0.01 points. This is a good time to sell.
UPS,positive spread: +0.04 points. This is a good time to buy.
INTC,negative spread: -0.01 points. This is a good time to sell.
QCOM,neutral spread: 0.0 points.
AMGN,negative spread: -0.18 points. This is a good time to sell.
COP,negative spread: -0.05 points. This is a good time to sell.
HON,negative spread: -0.04 points. This is a good time to sell.
INTU,negative spread: -0.63 points. This is a good time to sell.
LOW,negative spread: -0.05 points. This is a good time to sell.
BA,negative spread: -0.22 points. This is a good time to sell.
UNP,positive spread: +0.03 points. This is a good time to buy.
SBUX,negative spread: -0.01 points. This is a good time to sell.
IBM,negative spread: -0.06 points. This is a good time to sell.
PLD,negative spread: -0.01 points. This is a good time to sell.
SPGI,negative spread: -0.36 points. This is a good time to sell.
ELV,negative spread: -0.36 points. This is a good time to sell.
CAT,negative spread: -0.2 points. This is a good time to sell.
LMT,negative spread: -0.19 points. This is a good time to sell.
MS,negative spread: -0.04 points. This is a good time to sell.
GS,negative spread: -0.1 points. This is a good time to sell.
DE,negative spread: -0.2 points. This is a good time to sell.
MDT,negative spread: -0.02 points. This is a good time to sell.
GE,negative spread: -0.12 points. This is a good time to sell.
GILD,negative spread: -0.04 points. This is a good time to sell.
BKNG,negative spread: -5.8 points. This is a good time to sell.
AMAT,neutral spread: 0.0 points.
ADI,negative spread: -0.06 points. This is a good time to sell.
BLK,negative spread: -0.94 points. This is a good time to sell.
CVS,neutral spread: 0.0 points.
AXP,negative spread: -0.09 points. This is a good time to sell.
SYK,negative spread: -0.3 points. This is a good time to sell.
NOW,negative spread: -0.62 points. This is a good time to sell.
MDLZ,negative spread: -0.01 points. This is a good time to sell.
AMT,negative spread: -0.18 points. This is a good time to sell.
TJX,neutral spread: 0.0 points.
ISRG,negative spread: -0.21 points. This is a good time to sell.
C,negative spread: -0.01 points. This is a good time to sell.
ADP,negative spread: -0.19 points. This is a good time to sell.
REGN,negative spread: -0.76 points. This is a good time to sell.
TMUS,negative spread: -0.01 points. This is a good time to sell.
PYPL,negative spread: -0.01 points. This is a good time to sell.
PGR,negative spread: -0.02 points. This is a good time to sell.
MMC,negative spread: -0.05 points. This is a good time to sell.
CB,negative spread: -0.08 points. This is a good time to sell.
VRTX,negative spread: -0.1 points. This is a good time to sell.
MO,negative spread: -0.01 points. This is a good time to sell.
ZTS,negative spread: -0.12 points. This is a good time to sell.
CI,negative spread: -0.07 points. This is a good time to sell.
TGT,negative spread: -0.14 points. This is a good time to sell.
SCHW,negative spread: -0.01 points. This is a good time to sell.
SO,negative spread: -0.03 points. This is a good time to sell.
DUK,positive spread: +0.01 points. This is a good time to buy.
SLB,neutral spread: 0.0 points.
BSX,negative spread: -0.01 points. This is a good time to sell.
FISV,negative spread: -0.01 points. This is a good time to sell.
BDX,negative spread: -0.09 points. This is a good time to sell.
EOG,negative spread: -0.07 points. This is a good time to sell.
CME,negative spread: -0.02 points. This is a good time to sell.
LRCX,negative spread: -0.65 points. This is a good time to sell.
NOC,negative spread: -0.49 points. This is a good time to sell.
AON,negative spread: -0.28 points. This is a good time to sell.
EQIX,negative spread: -0.86 points. This is a good time to sell.
ITW,negative spread: -0.18 points. This is a good time to sell.
ETN,negative spread: -0.06 points. This is a good time to sell.
APD,negative spread: -0.18 points. This is a good time to sell.
HUM,negative spread: -0.02 points. This is a good time to sell.
MU,negative spread: -0.03 points. This is a good time to sell.
CL,negative spread: -0.01 points. This is a good time to sell.
CSX,negative spread: -0.01 points. This is a good time to sell.
WM,negative spread: -0.07 points. This is a good time to sell.
ATVI,neutral spread: 0.0 points.
ICE,negative spread: -0.02 points. This is a good time to sell.
SNPS,negative spread: -0.43 points. This is a good time to sell.
CDNS,negative spread: -0.11 points. This is a good time to sell.
CCI,negative spread: -0.07 points. This is a good time to sell.
FCX,negative spread: -0.01 points. This is a good time to sell.
MPC,negative spread: -0.04 points. This is a good time to sell.
EL,negative spread: -0.24 points. This is a good time to sell.
HCA,negative spread: -0.01 points. This is a good time to sell.
MMM,negative spread: -0.01 points. This is a good time to sell.
KLAC,negative spread: -0.37 points. This is a good time to sell.
ORLY,negative spread: -1.0 points. This is a good time to sell.
SHW,negative spread: -0.13 points. This is a good time to sell.
FDX,positive spread: +0.02 points. This is a good time to buy.
MRNA,negative spread: -0.12 points. This is a good time to sell.
GD,negative spread: -0.19 points. This is a good time to sell.
EW,negative spread: -0.02 points. This is a good time to sell.
GIS,neutral spread: 0.0 points.
PXD,negative spread: -0.31 points. This is a good time to sell.
F,negative spread: -0.01 points. This is a good time to sell.
GM,negative spread: -0.01 points. This is a good time to sell.
MCK,negative spread: -0.27 points. This is a good time to sell.
PNC,negative spread: -0.04 points. This is a good time to sell.
VLO,negative spread: -0.1 points. This is a good time to sell.
USB,negative spread: -0.01 points. This is a good time to sell.
PSA,positive spread: +0.04 points. This is a good time to buy.
EMR,negative spread: -0.01 points. This is a good time to sell.
CMG,negative spread: -2.07 points. This is a good time to sell.
DG,neutral spread: 0.0 points.
MSI,negative spread: -0.22 points. This is a good time to sell.
MCO,negative spread: -0.24 points. This is a good time to sell.
APH,negative spread: -0.01 points. This is a good time to sell.
SRE,negative spread: -0.02 points. This is a good time to sell.
OXY,positive spread: +0.02 points. This is a good time to buy.
AZO,negative spread: -3.96 points. This is a good time to sell.
D,negative spread: -0.01 points. This is a good time to sell.
AEP,negative spread: -0.02 points. This is a good time to sell.
NSC,negative spread: -0.29 points. This is a good time to sell.
ROP,negative spread: -0.2 points. This is a good time to sell.
PSX,negative spread: -0.03 points. This is a good time to sell.
NXPI,negative spread: -0.3 points. This is a good time to sell.
KMB,negative spread: -0.07 points. This is a good time to sell.
MCHP,negative spread: -0.01 points. This is a good time to sell.
DXCM,negative spread: -0.09 points. This is a good time to sell.
MAR,negative spread: -0.12 points. This is a good time to sell.
MSCI,negative spread: -0.54 points. This is a good time to sell.
ADSK,negative spread: -0.12 points. This is a good time to sell.
ADM,negative spread: -0.01 points. This is a good time to sell.
CTVA,negative spread: -0.02 points. This is a good time to sell.
FTNT,negative spread: -0.03 points. This is a good time to sell.
TFC,negative spread: -0.01 points. This is a good time to sell.
EXC,negative spread: -0.01 points. This is a good time to sell.
ANET,negative spread: -0.06 points. This is a good time to sell.
AJG,negative spread: -0.14 points. This is a good time to sell.
PH,negative spread: -0.26 points. This is a good time to sell.
ECL,negative spread: -0.13 points. This is a good time to sell.
A,negative spread: -0.1 points. This is a good time to sell.
NEM,negative spread: -0.02 points. This is a good time to sell.
MNST,negative spread: -0.01 points. This is a good time to sell.
TEL,negative spread: -0.08 points. This is a good time to sell.
IDXX,negative spread: -0.83 points. This is a good time to sell.
TT,negative spread: -0.1 points. This is a good time to sell.
BIIB,negative spread: -0.2 points. This is a good time to sell.
SYY,negative spread: -0.02 points. This is a good time to sell.
O,negative spread: -0.01 points. This is a good time to sell.
CTAS,negative spread: -0.34 points. This is a good time to sell.
JCI,negative spread: -0.01 points. This is a good time to sell.
HES,negative spread: -0.11 points. This is a good time to sell.
TRV,negative spread: -0.07 points. This is a good time to sell.
TDG,negative spread: -0.71 points. This is a good time to sell.
DOW,negative spread: -0.01 points. This is a good time to sell.
HSY,negative spread: -0.18 points. This is a good time to sell.
MET,negative spread: -0.02 points. This is a good time to sell.
ROST,negative spread: -0.04 points. This is a good time to sell.
LHX,negative spread: -0.05 points. This is a good time to sell.
XEL,negative spread: -0.03 points. This is a good time to sell.
HLT,negative spread: -0.06 points. This is a good time to sell.
YUM,negative spread: -0.02 points. This is a good time to sell.
AIG,negative spread: -0.01 points. This is a good time to sell.
COF,negative spread: -0.03 points. This is a good time to sell.
PCAR,positive spread: +0.02 points. This is a good time to buy.
CHTR,negative spread: -0.51 points. This is a good time to sell.
IQV,negative spread: -0.12 points. This is a good time to sell.
SPG,negative spread: -0.06 points. This is a good time to sell.
NUE,neutral spread: 0.0 points.
ILMN,negative spread: -0.44 points. This is a good time to sell.
AFL,negative spread: -0.02 points. This is a good time to sell.
WMB,negative spread: -0.01 points. This is a good time to sell.
CARR,negative spread: -0.01 points. This is a good time to sell.
STZ,negative spread: -0.27 points. This is a good time to sell.
CNC,neutral spread: 0.0 points.
PAYX,negative spread: -0.04 points. This is a good time to sell.
KMI,negative spread: -0.01 points. This is a good time to sell.
DVN,negative spread: -0.02 points. This is a good time to sell.
MTD,negative spread: -5.51 points. This is a good time to sell.
ED,negative spread: -0.03 points. This is a good time to sell.
ON,negative spread: -0.01 points. This is a good time to sell.
OTIS,negative spread: -0.03 points. This is a good time to sell.
WBD,negative spread: -0.01 points. This is a good time to sell.
WELL,neutral spread: 0.0 points.
EA,negative spread: -0.03 points. This is a good time to sell.
CMI,negative spread: -0.18 points. This is a good time to sell.
BK,negative spread: -0.01 points. This is a good time to sell.
VICI,negative spread: -0.01 points. This is a good time to sell.
CPRT,negative spread: -0.02 points. This is a good time to sell.
PPG,negative spread: -0.09 points. This is a good time to sell.
RMD,negative spread: -0.12 points. This is a good time to sell.
KR,negative spread: -0.01 points. This is a good time to sell.
DD,negative spread: -0.03 points. This is a good time to sell.
AME,negative spread: -0.04 points. This is a good time to sell.
AMP,negative spread: -0.28 points. This is a good time to sell.
ROK,negative spread: -0.29 points. This is a good time to sell.
FIS,negative spread: -0.03 points. This is a good time to sell.
DLTR,negative spread: -0.02 points. This is a good time to sell.
CTSH,negative spread: -0.03 points. This is a good time to sell.
PEG,negative spread: -0.02 points. This is a good time to sell.
KHC,negative spread: -0.01 points. This is a good time to sell.
DHI,neutral spread: 0.0 points.
FAST,negative spread: -0.01 points. This is a good time to sell.
PRU,neutral spread: 0.0 points.
HAL,negative spread: -0.01 points. This is a good time to sell.
ALL,negative spread: -0.07 points. This is a good time to sell.
KDP,negative spread: -0.01 points. This is a good time to sell.
WEC,negative spread: -0.04 points. This is a good time to sell.
VRSK,negative spread: -0.07 points. This is a good time to sell.
ODFL,negative spread: -0.48 points. This is a good time to sell.
GWW,negative spread: -0.56 points. This is a good time to sell.
GEHC,negative spread: -0.11 points. This is a good time to sell.
BKR,negative spread: -0.01 points. This is a good time to sell.
OKE,neutral spread: 0.0 points.
APTV,negative spread: -0.06 points. This is a good time to sell.
ANSS,negative spread: -0.79 points. This is a good time to sell.
AWK,positive spread: +0.04 points. This is a good time to buy.
KEYS,negative spread: -0.12 points. This is a good time to sell.
ULTA,negative spread: -0.7 points. This is a good time to sell.
RSG,negative spread: -0.03 points. This is a good time to sell.
SBAC,negative spread: -0.26 points. This is a good time to sell.
CSGP,negative spread: -0.01 points. This is a good time to sell.
ENPH,negative spread: -0.3 points. This is a good time to sell.
ES,negative spread: -0.05 points. This is a good time to sell.
GPN,negative spread: -0.06 points. This is a good time to sell.
ZBH,negative spread: -0.02 points. This is a good time to sell.
EIX,negative spread: -0.03 points. This is a good time to sell.
DLR,negative spread: -0.05 points. This is a good time to sell.
TSCO,negative spread: -0.25 points. This is a good time to sell.
ABC,negative spread: -0.14 points. This is a good time to sell.
LEN,negative spread: -0.05 points. This is a good time to sell.
DFS,neutral spread: 0.0 points.
GLW,negative spread: -0.01 points. This is a good time to sell.
STT,negative spread: -0.02 points. This is a good time to sell.
FANG,negative spread: -0.08 points. This is a good time to sell.
PCG,negative spread: -0.01 points. This is a good time to sell.
WST,negative spread: -0.45 points. This is a good time to sell.
WBA,negative spread: -0.01 points. This is a good time to sell.
CDW,negative spread: -0.13 points. This is a good time to sell.
HPQ,negative spread: -0.01 points. This is a good time to sell.
WTW,negative spread: -0.19 points. This is a good time to sell.
ACGL,neutral spread: 0.0 points.
URI,negative spread: -0.24 points. This is a good time to sell.
CEG,negative spread: -0.04 points. This is a good time to sell.
TROW,negative spread: -0.08 points. This is a good time to sell.
IT,negative spread: -0.24 points. This is a good time to sell.
EFX,negative spread: -0.21 points. This is a good time to sell.
ALB,negative spread: -0.28 points. This is a good time to sell.
EBAY,negative spread: -0.01 points. This is a good time to sell.
ALGN,negative spread: -0.83 points. This is a good time to sell.
LYB,negative spread: -0.02 points. This is a good time to sell.
GPC,negative spread: -0.11 points. This is a good time to sell.
PWR,negative spread: -0.15 points. This is a good time to sell.
AVB,negative spread: -0.01 points. This is a good time to sell.
FTV,negative spread: -0.03 points. This is a good time to sell.
IFF,negative spread: -0.04 points. This is a good time to sell.
VMC,neutral spread: 0.0 points.
IR,negative spread: -0.01 points. This is a good time to sell.
CBRE,neutral spread: 0.0 points.
AEE,negative spread: -0.03 points. This is a good time to sell.
PODD,negative spread: -0.51 points. This is a good time to sell.
WY,negative spread: -0.01 points. This is a good time to sell.
HIG,negative spread: -0.11 points. This is a good time to sell.
ETR,negative spread: -0.07 points. This is a good time to sell.
DAL,negative spread: -0.01 points. This is a good time to sell.
CHD,neutral spread: 0.0 points.
FE,negative spread: -0.01 points. This is a good time to sell.
MPWR,negative spread: -1.61 points. This is a good time to sell.
MLM,negative spread: -0.4 points. This is a good time to sell.
EXR,negative spread: -0.2 points. This is a good time to sell.
MKC,positive spread: +0.03 points. This is a good time to buy.
DTE,negative spread: -0.07 points. This is a good time to sell.
HPE,negative spread: -0.01 points. This is a good time to sell.
FSLR,negative spread: -0.34 points. This is a good time to sell.
TDY,negative spread: -0.65 points. This is a good time to sell.
BAX,negative spread: -0.01 points. This is a good time to sell.
LH,negative spread: -0.2 points. This is a good time to sell.
DOV,negative spread: -0.16 points. This is a good time to sell.
EQR,negative spread: -0.02 points. This is a good time to sell.
PPL,negative spread: -0.01 points. This is a good time to sell.
HOLX,negative spread: -0.07 points. This is a good time to sell.
CAH,negative spread: -0.02 points. This is a good time to sell.
VRSN,negative spread: -0.18 points. This is a good time to sell.
CTRA,negative spread: -0.01 points. This is a good time to sell.
MTB,negative spread: -0.08 points. This is a good time to sell.
ARE,negative spread: -0.09 points. This is a good time to sell.
OMC,negative spread: -0.03 points. This is a good time to sell.
TTWO,negative spread: -0.17 points. This is a good time to sell.
CLX,negative spread: -0.13 points. This is a good time to sell.
STE,negative spread: -0.26 points. This is a good time to sell.
LVS,negative spread: -0.06 points. This is a good time to sell.
LUV,negative spread: -0.01 points. This is a good time to sell.
DRI,negative spread: -0.15 points. This is a good time to sell.
CNP,negative spread: -0.01 points. This is a good time to sell.
NDAQ,negative spread: -0.01 points. This is a good time to sell.
COO,negative spread: -0.45 points. This is a good time to sell.
XYL,negative spread: -0.03 points. This is a good time to sell.
SWKS,negative spread: -0.02 points. This is a good time to sell.
NTRS,negative spread: -0.03 points. This is a good time to sell.
WAT,negative spread: -0.3 points. This is a good time to sell.
INVH,negative spread: -0.01 points. This is a good time to sell.
CAG,negative spread: -0.01 points. This is a good time to sell.
CMS,negative spread: -0.04 points. This is a good time to sell.
WAB,negative spread: -0.06 points. This is a good time to sell.
CINF,negative spread: -0.2 points. This is a good time to sell.
FITB,negative spread: -0.01 points. This is a good time to sell.
RJF,positive spread: +0.01 points. This is a good time to buy.
TSN,negative spread: -0.02 points. This is a good time to sell.
FICO,negative spread: -2.65 points. This is a good time to sell.
MAA,negative spread: -0.18 points. This is a good time to sell.
K,negative spread: -0.01 points. This is a good time to sell.
RF,negative spread: -0.01 points. This is a good time to sell.
STLD,negative spread: -0.08 points. This is a good time to sell.
BALL,negative spread: -0.05 points. This is a good time to sell.
EXPD,negative spread: -0.05 points. This is a good time to sell.
VTR,negative spread: -0.02 points. This is a good time to sell.
BR,negative spread: -0.05 points. This is a good time to sell.
AMCR,negative spread: -0.01 points. This is a good time to sell.
TRGP,negative spread: -0.03 points. This is a good time to sell.
PKI,negative spread: -0.09 points. This is a good time to sell.
IEX,negative spread: -0.15 points. This is a good time to sell.
SJM,negative spread: -0.07 points. This is a good time to sell.
EPAM,negative spread: -0.15 points. This is a good time to sell.
NVR,negative spread: -12.0 points. This is a good time to sell.
PFG,negative spread: -0.03 points. This is a good time to sell.
SEDG,negative spread: -0.16 points. This is a good time to sell.
MRO,negative spread: -0.01 points. This is a good time to sell.
TER,negative spread: -0.08 points. This is a good time to sell.
DGX,negative spread: -0.05 points. This is a good time to sell.
ATO,negative spread: -0.03 points. This is a good time to sell.
AES,negative spread: -0.01 points. This is a good time to sell.
ZBRA,negative spread: -0.82 points. This is a good time to sell.
MOH,negative spread: -0.25 points. This is a good time to sell.
MOS,negative spread: -0.01 points. This is a good time to sell.
FDS,negative spread: -0.52 points. This is a good time to sell.
HBAN,negative spread: -0.01 points. This is a good time to sell.
BBY,negative spread: -0.03 points. This is a good time to sell.
HWM,positive spread: +0.02 points. This is a good time to buy.
GRMN,negative spread: -0.07 points. This is a good time to sell.
IRM,negative spread: -0.05 points. This is a good time to sell.
FMC,negative spread: -0.06 points. This is a good time to sell.
FLT,negative spread: -0.13 points. This is a good time to sell.
TYL,negative spread: -0.43 points. This is a good time to sell.
LW,negative spread: -0.04 points. This is a good time to sell.
MKTX,negative spread: -0.65 points. This is a good time to sell.
J,negative spread: -0.13 points. This is a good time to sell.
TXT,negative spread: -0.03 points. This is a good time to sell.
IPG,negative spread: -0.01 points. This is a good time to sell.
AVY,negative spread: -0.1 points. This is a good time to sell.
CFG,negative spread: -0.01 points. This is a good time to sell.
CF,negative spread: -0.07 points. This is a good time to sell.
CBOE,negative spread: -0.09 points. This is a good time to sell.
PAYC,negative spread: -0.13 points. This is a good time to sell.
BG,negative spread: -0.04 points. This is a good time to sell.
JBHT,negative spread: -0.08 points. This is a good time to sell.
LKQ,negative spread: -0.03 points. This is a good time to sell.
RE,negative spread: -0.54 points. This is a good time to sell.
MGM,negative spread: -0.01 points. This is a good time to sell.
EVRG,negative spread: -0.02 points. This is a good time to sell.
EXPE,negative spread: -0.03 points. This is a good time to sell.
RCL,negative spread: -0.03 points. This is a good time to sell.
UAL,negative spread: -0.01 points. This is a good time to sell.
ETSY,negative spread: -0.08 points. This is a good time to sell.
NTAP,negative spread: -0.02 points. This is a good time to sell.
BRO,negative spread: -0.03 points. This is a good time to sell.
PTC,negative spread: -0.24 points. This is a good time to sell.
INCY,negative spread: -0.04 points. This is a good time to sell.
PHM,negative spread: -0.01 points. This is a good time to sell.
ESS,negative spread: -0.19 points. This is a good time to sell.
LNT,negative spread: -0.01 points. This is a good time to sell.
PKG,negative spread: -0.08 points. This is a good time to sell.
POOL,negative spread: -0.23 points. This is a good time to sell.
IP,negative spread: -0.01 points. This is a good time to sell.
STX,negative spread: -0.03 points. This is a good time to sell.
WRB,negative spread: -0.04 points. This is a good time to sell.
SYF,negative spread: -0.01 points. This is a good time to sell.
SNA,negative spread: -0.18 points. This is a good time to sell.
TRMB,negative spread: -0.03 points. This is a good time to sell.
UDR,negative spread: -0.01 points. This is a good time to sell.
LDOS,positive spread: +0.01 points. This is a good time to buy.
APA,negative spread: -0.01 points. This is a good time to sell.
AKAM,negative spread: -0.04 points. This is a good time to sell.
TFX,negative spread: -0.39 points. This is a good time to sell.
PEAK,negative spread: -0.01 points. This is a good time to sell.
KIM,negative spread: -0.01 points. This is a good time to sell.
EQT,negative spread: -0.02 points. This is a good time to sell.
HRL,negative spread: -0.01 points. This is a good time to sell.
DPZ,negative spread: -0.35 points. This is a good time to sell.
WYNN,negative spread: -0.04 points. This is a good time to sell.
TECH,negative spread: -0.05 points. This is a good time to sell.
VTRS,negative spread: -0.01 points. This is a good time to sell.
HST,negative spread: -0.01 points. This is a good time to sell.
NDSN,negative spread: -0.27 points. This is a good time to sell.
WDC,negative spread: -0.01 points. This is a good time to sell.
CPT,negative spread: -0.2 points. This is a good time to sell.
SWK,negative spread: -0.06 points. This is a good time to sell.
BWA,negative spread: -0.01 points. This is a good time to sell.
CTLT,negative spread: -0.05 points. This is a good time to sell.
NI,negative spread: -0.01 points. This is a good time to sell.
HSIC,negative spread: -0.05 points. This is a good time to sell.
CHRW,negative spread: -0.05 points. This is a good time to sell.
CPB,negative spread: -0.01 points. This is a good time to sell.
CDAY,negative spread: -0.07 points. This is a good time to sell.
KEY,negative spread: -0.01 points. This is a good time to sell.
JNPR,negative spread: -0.01 points. This is a good time to sell.
L,negative spread: -0.02 points. This is a good time to sell.
MAS,negative spread: -0.02 points. This is a good time to sell.
PARA,negative spread: -0.01 points. This is a good time to sell.
JKHY,negative spread: -0.17 points. This is a good time to sell.
CE,negative spread: -0.09 points. This is a good time to sell.
MTCH,negative spread: -0.04 points. This is a good time to sell.
FOXA,negative spread: -0.01 points. This is a good time to sell.
CZR,negative spread: -0.01 points. This is a good time to sell.
KMX,negative spread: -0.04 points. This is a good time to sell.
TPR,negative spread: -0.02 points. This is a good time to sell.
CRL,negative spread: -0.48 points. This is a good time to sell.
QRVO,negative spread: -0.09 points. This is a good time to sell.
CCL,negative spread: -0.01 points. This is a good time to sell.
EMN,negative spread: -0.05 points. This is a good time to sell.
LYV,negative spread: -0.01 points. This is a good time to sell.
BIO,negative spread: -1.42 points. This is a good time to sell.
GEN,negative spread: -0.01 points. This is a good time to sell.
TAP,negative spread: -0.03 points. This is a good time to sell.
GL,negative spread: -0.12 points. This is a good time to sell.
REG,negative spread: -0.04 points. This is a good time to sell.
AAL,negative spread: -0.01 points. This is a good time to sell.
ALLE,negative spread: -0.06 points. This is a good time to sell.
PNW,negative spread: -0.1 points. This is a good time to sell.
PNR,negative spread: -0.02 points. This is a good time to sell.
ROL,negative spread: -0.01 points. This is a good time to sell.
FFIV,negative spread: -0.12 points. This is a good time to sell.
RHI,negative spread: -0.07 points. This is a good time to sell.
AOS,negative spread: -0.04 points. This is a good time to sell.
XRAY,negative spread: -0.02 points. This is a good time to sell.
BBWI,positive spread: +0.01 points. This is a good time to buy.
HII,negative spread: -0.22 points. This is a good time to sell.
UHS,negative spread: -0.13 points. This is a good time to sell.
NRG,negative spread: -0.01 points. This is a good time to sell.
BEN,negative spread: -0.01 points. This is a good time to sell.
WRK,negative spread: -0.01 points. This is a good time to sell.
BXP,negative spread: -0.02 points. This is a good time to sell.
VFC,negative spread: -0.01 points. This is a good time to sell.
AAP,negative spread: -0.01 points. This is a good time to sell.
FRT,negative spread: -0.14 points. This is a good time to sell.
IVZ,negative spread: -0.01 points. This is a good time to sell.
WHR,negative spread: -0.16 points. This is a good time to sell.
SEE,negative spread: -0.05 points. This is a good time to sell.
NWSA,negative spread: -0.01 points. This is a good time to sell.
HAS,positive spread: +0.01 points. This is a good time to buy.
GNRC,negative spread: -0.19 points. This is a good time to sell.
AIZ,negative spread: -0.11 points. This is a good time to sell.
OGN,negative spread: -0.01 points. This is a good time to sell.
DXC,negative spread: -0.01 points. This is a good time to sell.
NCLH,negative spread: -0.01 points. This is a good time to sell.
CMA,negative spread: -0.04 points. This is a good time to sell.
ALK,negative spread: -0.01 points. This is a good time to sell.
MHK,negative spread: -0.15 points. This is a good time to sell.
RL,negative spread: -0.05 points. This is a good time to sell.
NWL,negative spread: -0.01 points. This is a good time to sell.
DVA,negative spread: -0.12 points. This is a good time to sell.
FOX,negative spread: -0.01 points. This is a good time to sell.
ZION,negative spread: -0.04 points. This is a good time to sell.
LNC,negative spread: -0.01 points. This is a good time to sell.
FRC,neutral spread: 0.0 points.
NWS,negative spread: -0.01 points. This is a good time to sell.
DISH,negative spread: -0.01 points. This is a good time to sell.
