Symbol,0
ELV,volatility: +0.43%... This is a good time to buy.
SPGI,volatility: -0.35%... This is a good time to sell.
PLD,no volatility: 0.0%
LMT,volatility: +0.3%... This is a good time to buy.
CAT,volatility: -0.4%... This is a good time to sell.
MS,volatility: +0.1%... This is a good time to buy.
GS,volatility: -0.36%... This is a good time to sell.
MDT,volatility: +0.72%... This is a good time to buy.
GILD,volatility: +0.5%... This is a good time to buy.
GE,volatility: -0.14%... This is a good time to sell.
BKNG,volatility: -0.38%... This is a good time to sell.
DE,volatility: -0.44%... This is a good time to sell.
CVS,volatility: +0.26%... This is a good time to buy.
AMAT,volatility: -2.68%... This is a good time to sell.
BLK,volatility: +0.09%... This is a good time to buy.
MDLZ,volatility: +0.36%... This is a good time to buy.
SYK,volatility: +0.01%... This is a good time to buy.
ADI,volatility: -0.86%... This is a good time to sell.
AXP,volatility: -0.28%... This is a good time to sell.
AMT,volatility: +0.33%... This is a good time to buy.
NOW,volatility: -0.72%... This is a good time to sell.
TJX,volatility: -0.19%... This is a good time to sell.
ISRG,volatility: +0.13%... This is a good time to buy.
REGN,volatility: -0.22%... This is a good time to sell.
C,volatility: +0.07%... This is a good time to buy.
ADP,volatility: +0.0%... This is a good time to buy.
TMUS,volatility: +0.19%... This is a good time to buy.
PGR,volatility: +0.03%... This is a good time to buy.
MMC,volatility: -0.11%... This is a good time to sell.
PYPL,volatility: -0.46%... This is a good time to sell.
VRTX,volatility: -0.16%... This is a good time to sell.
CB,volatility: +0.6%... This is a good time to buy.
MO,volatility: -0.07%... This is a good time to sell.
CI,volatility: +0.7%... This is a good time to buy.
ZTS,volatility: +0.37%... This is a good time to buy.
SO,volatility: +0.57%... This is a good time to buy.
DUK,volatility: +0.67%... This is a good time to buy.
TGT,volatility: -1.62%... This is a good time to sell.
SCHW,volatility: -0.14%... This is a good time to sell.
BSX,volatility: +0.12%... This is a good time to buy.
SLB,volatility: -0.04%... This is a good time to sell.
BDX,volatility: +0.38%... This is a good time to buy.
FISV,no volatility: 0.0%
EOG,volatility: -0.59%... This is a good time to sell.
CME,volatility: +0.06%... This is a good time to buy.
NOC,volatility: +0.8%... This is a good time to buy.
LRCX,volatility: -1.51%... This is a good time to sell.
AON,volatility: -0.1%... This is a good time to sell.
EQIX,volatility: +0.21%... This is a good time to buy.
HUM,volatility: +0.69%... This is a good time to buy.
ITW,volatility: -0.41%... This is a good time to sell.
ETN,volatility: -0.42%... This is a good time to sell.
CL,volatility: +0.31%... This is a good time to buy.
APD,volatility: -0.54%... This is a good time to sell.
MU,volatility: +0.09%... This is a good time to buy.
CSX,volatility: +0.17%... This is a good time to buy.
ATVI,volatility: +0.14%... This is a good time to buy.
WM,volatility: +0.16%... This is a good time to buy.
MPC,volatility: +0.18%... This is a good time to buy.
ICE,volatility: +0.08%... This is a good time to buy.
CCI,volatility: +0.71%... This is a good time to buy.
SNPS,volatility: -0.72%... This is a good time to sell.
FCX,volatility: -0.22%... This is a good time to sell.
HCA,volatility: -0.0%... This is a good time to sell.
CDNS,volatility: -1.05%... This is a good time to sell.
MMM,volatility: +0.06%... This is a good time to buy.
EL,volatility: +0.5%... This is a good time to buy.
ORLY,volatility: -0.27%... This is a good time to sell.
FDX,volatility: +0.47%... This is a good time to buy.
KLAC,volatility: -1.91%... This is a good time to sell.
SHW,volatility: -1.17%... This is a good time to sell.
VLO,volatility: +0.31%... This is a good time to buy.
GIS,volatility: +0.25%... This is a good time to buy.
EW,volatility: -0.04%... This is a good time to sell.
GD,volatility: +0.17%... This is a good time to buy.
MCK,volatility: +0.51%... This is a good time to buy.
MRNA,volatility: +0.25%... This is a good time to buy.
PXD,volatility: -0.51%... This is a good time to sell.
GM,volatility: -0.26%... This is a good time to sell.
USB,volatility: +0.4%... This is a good time to buy.
PNC,volatility: -1.18%... This is a good time to sell.
F,volatility: -0.16%... This is a good time to sell.
PSX,volatility: +0.36%... This is a good time to buy.
PSA,volatility: +0.4%... This is a good time to buy.
AEP,volatility: +0.84%... This is a good time to buy.
SRE,volatility: +0.5%... This is a good time to buy.
MSI,volatility: -0.77%... This is a good time to sell.
D,volatility: +0.7%... This is a good time to buy.
MCO,volatility: -0.27%... This is a good time to sell.
EMR,volatility: -0.32%... This is a good time to sell.
DG,volatility: -0.54%... This is a good time to sell.
CMG,volatility: -0.6%... This is a good time to sell.
OXY,volatility: -0.81%... This is a good time to sell.
AZO,volatility: +0.26%... This is a good time to buy.
APH,volatility: -0.65%... This is a good time to sell.
ROP,volatility: +0.21%... This is a good time to buy.
NSC,volatility: +0.16%... This is a good time to buy.
KMB,volatility: +0.4%... This is a good time to buy.
NXPI,volatility: -0.53%... This is a good time to sell.
MAR,volatility: +0.27%... This is a good time to buy.
MCHP,volatility: -1.33%... This is a good time to sell.
ADM,volatility: +0.05%... This is a good time to buy.
DXCM,volatility: +0.11%... This is a good time to buy.
CTVA,volatility: -0.41%... This is a good time to sell.
MSCI,volatility: -0.77%... This is a good time to sell.
EXC,volatility: +0.47%... This is a good time to buy.
ADSK,volatility: -0.33%... This is a good time to sell.
TFC,volatility: +0.47%... This is a good time to buy.
FTNT,volatility: -0.61%... This is a good time to sell.
AJG,volatility: +0.06%... This is a good time to buy.
NEM,volatility: -0.9%... This is a good time to sell.
ECL,volatility: -0.6%... This is a good time to sell.
BIIB,volatility: +0.38%... This is a good time to buy.
A,volatility: -0.06%... This is a good time to sell.
ANET,volatility: -2.56%... This is a good time to sell.
MNST,volatility: -0.83%... This is a good time to sell.
PH,volatility: -0.35%... This is a good time to sell.
TEL,volatility: -0.62%... This is a good time to sell.
IDXX,volatility: -0.37%... This is a good time to sell.
HES,volatility: -0.84%... This is a good time to sell.
TRV,volatility: +0.26%... This is a good time to buy.
O,volatility: +0.41%... This is a good time to buy.
SYY,volatility: -0.12%... This is a good time to sell.
TT,volatility: -0.23%... This is a good time to sell.
CTAS,volatility: -0.05%... This is a good time to sell.
XEL,volatility: +0.72%... This is a good time to buy.
MET,volatility: +0.58%... This is a good time to buy.
DOW,volatility: -0.48%... This is a good time to sell.
JCI,volatility: -0.27%... This is a good time to sell.
HSY,volatility: +0.19%... This is a good time to buy.
LHX,volatility: +0.42%... This is a good time to buy.
TDG,volatility: -0.15%... This is a good time to sell.
AIG,volatility: +0.46%... This is a good time to buy.
CHTR,volatility: +0.08%... This is a good time to buy.
HLT,volatility: +0.24%... This is a good time to buy.
YUM,volatility: +0.16%... This is a good time to buy.
ROST,volatility: -0.25%... This is a good time to sell.
IQV,volatility: -0.05%... This is a good time to sell.
AFL,volatility: +0.23%... This is a good time to buy.
NUE,volatility: -0.33%... This is a good time to sell.
WMB,volatility: +0.43%... This is a good time to buy.
ILMN,volatility: -0.32%... This is a good time to sell.
CNC,volatility: +0.74%... This is a good time to buy.
COF,volatility: +0.06%... This is a good time to buy.
SPG,volatility: +0.33%... This is a good time to buy.
STZ,volatility: +1.16%... This is a good time to buy.
PCAR,volatility: +0.18%... This is a good time to buy.
CARR,volatility: +0.02%... This is a good time to buy.
KMI,volatility: +0.17%... This is a good time to buy.
ED,volatility: +0.42%... This is a good time to buy.
DVN,volatility: -0.56%... This is a good time to sell.
PAYX,volatility: -0.19%... This is a good time to sell.
MTD,volatility: -0.02%... This is a good time to sell.
WELL,volatility: +1.57%... This is a good time to buy.
OTIS,volatility: -0.38%... This is a good time to sell.
EA,volatility: -0.28%... This is a good time to sell.
ON,volatility: -1.7%... This is a good time to sell.
BK,volatility: +0.07%... This is a good time to buy.
WBD,volatility: -0.61%... This is a good time to sell.
PPG,volatility: -1.3%... This is a good time to sell.
RMD,volatility: +0.12%... This is a good time to buy.
VICI,volatility: +0.09%... This is a good time to buy.
DD,volatility: -0.54%... This is a good time to sell.
CPRT,volatility: -0.83%... This is a good time to sell.
FIS,volatility: -0.17%... This is a good time to sell.
AMP,volatility: +0.12%... This is a good time to buy.
PEG,volatility: +0.63%... This is a good time to buy.
KR,volatility: -0.04%... This is a good time to sell.
DLTR,volatility: -0.65%... This is a good time to sell.
ROK,volatility: -0.36%... This is a good time to sell.
CTSH,volatility: -0.35%... This is a good time to sell.
AME,volatility: -0.32%... This is a good time to sell.
CMI,volatility: +0.03%... This is a good time to buy.
WEC,volatility: +0.62%... This is a good time to buy.
KHC,volatility: +0.33%... This is a good time to buy.
PRU,volatility: +0.41%... This is a good time to buy.
DHI,volatility: -0.3%... This is a good time to sell.
ALL,volatility: +0.43%... This is a good time to buy.
HAL,volatility: +0.12%... This is a good time to buy.
KDP,volatility: +0.08%... This is a good time to buy.
VRSK,volatility: -0.13%... This is a good time to sell.
OKE,volatility: +0.23%... This is a good time to buy.
FAST,volatility: -0.56%... This is a good time to sell.
GEHC,volatility: -0.18%... This is a good time to sell.
ODFL,volatility: -0.28%... This is a good time to sell.
GWW,volatility: -0.66%... This is a good time to sell.
BKR,volatility: -0.1%... This is a good time to sell.
AWK,volatility: +0.53%... This is a good time to buy.
APTV,volatility: -0.79%... This is a good time to sell.
ANSS,volatility: -0.77%... This is a good time to sell.
ES,volatility: +0.71%... This is a good time to buy.
KEYS,volatility: -0.94%... This is a good time to sell.
SBAC,volatility: +0.15%... This is a good time to buy.
RSG,volatility: +0.16%... This is a good time to buy.
EIX,volatility: +0.33%... This is a good time to buy.
CSGP,volatility: +0.01%... This is a good time to buy.
GPN,volatility: -0.39%... This is a good time to sell.
ULTA,volatility: -0.77%... This is a good time to sell.
ABC,volatility: +0.38%... This is a good time to buy.
ZBH,no volatility: 0.0%
PCG,volatility: +0.48%... This is a good time to buy.
LEN,volatility: -0.37%... This is a good time to sell.
STT,volatility: +0.11%... This is a good time to buy.
ENPH,volatility: -1.16%... This is a good time to sell.
FANG,volatility: -0.52%... This is a good time to sell.
GLW,volatility: -0.67%... This is a good time to sell.
DFS,volatility: +0.13%... This is a good time to buy.
TSCO,volatility: -0.76%... This is a good time to sell.
WBA,volatility: -0.17%... This is a good time to sell.
DLR,volatility: -0.23%... This is a good time to sell.
WST,volatility: -0.26%... This is a good time to sell.
WTW,volatility: +0.04%... This is a good time to buy.
CDW,volatility: -0.59%... This is a good time to sell.
HPQ,volatility: -0.24%... This is a good time to sell.
ACGL,volatility: +0.26%... This is a good time to buy.
CEG,volatility: +0.14%... This is a good time to buy.
IT,volatility: -0.23%... This is a good time to sell.
TROW,volatility: -0.09%... This is a good time to sell.
EFX,volatility: -0.45%... This is a good time to sell.
URI,volatility: -0.36%... This is a good time to sell.
LYB,volatility: -0.41%... This is a good time to sell.
EBAY,volatility: -0.48%... This is a good time to sell.
AVB,volatility: +0.84%... This is a good time to buy.
AEE,volatility: +0.65%... This is a good time to buy.
ALB,volatility: -0.78%... This is a good time to sell.
IFF,volatility: -0.23%... This is a good time to sell.
ALGN,volatility: -0.43%... This is a good time to sell.
GPC,volatility: -0.15%... This is a good time to sell.
PWR,volatility: -0.39%... This is a good time to sell.
FTV,volatility: -0.37%... This is a good time to sell.
ETR,volatility: +0.82%... This is a good time to buy.
FE,volatility: +0.38%... This is a good time to buy.
IR,volatility: -0.53%... This is a good time to sell.
CBRE,volatility: -0.3%... This is a good time to sell.
HIG,volatility: +0.45%... This is a good time to buy.
PODD,volatility: +0.27%... This is a good time to buy.
CHD,volatility: +0.42%... This is a good time to buy.
WY,volatility: +0.03%... This is a good time to buy.
VMC,volatility: -0.44%... This is a good time to sell.
DTE,volatility: +0.57%... This is a good time to buy.
DAL,volatility: +0.36%... This is a good time to buy.
EXR,volatility: +0.69%... This is a good time to buy.
MKC,volatility: +0.26%... This is a good time to buy.
BAX,volatility: +0.47%... This is a good time to buy.
MPWR,volatility: -1.43%... This is a good time to sell.
MLM,volatility: -0.81%... This is a good time to sell.
CAH,volatility: +0.44%... This is a good time to buy.
PPL,volatility: +0.46%... This is a good time to buy.
LH,volatility: +0.19%... This is a good time to buy.
HPE,volatility: -0.06%... This is a good time to sell.
HOLX,volatility: -0.02%... This is a good time to sell.
TDY,volatility: -0.32%... This is a good time to sell.
EQR,volatility: +0.69%... This is a good time to buy.
CTRA,volatility: -0.79%... This is a good time to sell.
DOV,volatility: -0.42%... This is a good time to sell.
FSLR,volatility: -0.26%... This is a good time to sell.
MTB,volatility: +0.32%... This is a good time to buy.
VRSN,volatility: -0.5%... This is a good time to sell.
ARE,volatility: +0.53%... This is a good time to buy.
CLX,volatility: +0.25%... This is a good time to buy.
TTWO,volatility: -0.4%... This is a good time to sell.
CNP,volatility: +0.36%... This is a good time to buy.
OMC,volatility: -0.03%... This is a good time to sell.
STE,volatility: +0.14%... This is a good time to buy.
LUV,volatility: +0.6%... This is a good time to buy.
DRI,volatility: -0.04%... This is a good time to sell.
LVS,volatility: +0.23%... This is a good time to buy.
COO,volatility: -0.09%... This is a good time to sell.
NDAQ,volatility: +0.13%... This is a good time to buy.
NTRS,volatility: +0.22%... This is a good time to buy.
CAG,volatility: +0.86%... This is a good time to buy.
CMS,volatility: +0.56%... This is a good time to buy.
XYL,volatility: -0.21%... This is a good time to sell.
WAT,volatility: +0.09%... This is a good time to buy.
INVH,volatility: +0.51%... This is a good time to buy.
SWKS,volatility: -1.03%... This is a good time to sell.
FITB,volatility: +2.79%... This is a good time to buy.
CINF,no volatility: 0.0%
WAB,volatility: +0.14%... This is a good time to buy.
TSN,volatility: +0.38%... This is a good time to buy.
K,volatility: +0.41%... This is a good time to buy.
RJF,volatility: +0.14%... This is a good time to buy.
MAA,volatility: +0.21%... This is a good time to buy.
RF,volatility: +0.05%... This is a good time to buy.
STLD,volatility: -0.05%... This is a good time to sell.
FICO,volatility: -0.79%... This is a good time to sell.
AMCR,no volatility: 0.0%
TRGP,volatility: +0.45%... This is a good time to buy.
PKI,no volatility: 0.0%
SJM,volatility: +0.39%... This is a good time to buy.
VTR,volatility: +0.69%... This is a good time to buy.
EXPD,volatility: -0.37%... This is a good time to sell.
NVR,volatility: -0.08%... This is a good time to sell.
BALL,volatility: -0.55%... This is a good time to sell.
PFG,volatility: +0.23%... This is a good time to buy.
BR,volatility: -0.22%... This is a good time to sell.
ATO,volatility: +0.57%... This is a good time to buy.
MOH,volatility: +0.58%... This is a good time to buy.
IEX,volatility: -0.2%... This is a good time to sell.
DGX,volatility: +0.33%... This is a good time to buy.
MRO,volatility: -0.74%... This is a good time to sell.
EPAM,volatility: -0.45%... This is a good time to sell.
AES,volatility: +0.58%... This is a good time to buy.
TER,volatility: -1.28%... This is a good time to sell.
HBAN,volatility: +1.0%... This is a good time to buy.
MOS,volatility: -3.63%... This is a good time to sell.
SEDG,volatility: -0.99%... This is a good time to sell.
HWM,volatility: -0.4%... This is a good time to sell.
ZBRA,volatility: -0.96%... This is a good time to sell.
FDS,volatility: -0.36%... This is a good time to sell.
BBY,volatility: -0.28%... This is a good time to sell.
FLT,volatility: -0.23%... This is a good time to sell.
FMC,volatility: -1.09%... This is a good time to sell.
GRMN,volatility: -0.23%... This is a good time to sell.
IRM,volatility: -0.16%... This is a good time to sell.
LW,volatility: +1.76%... This is a good time to buy.
EVRG,volatility: +0.82%... This is a good time to buy.
TYL,volatility: -0.83%... This is a good time to sell.
AVY,volatility: -0.27%... This is a good time to sell.
J,volatility: +0.17%... This is a good time to buy.
IPG,volatility: -0.35%... This is a good time to sell.
CF,volatility: -0.49%... This is a good time to sell.
TXT,volatility: -0.22%... This is a good time to sell.
RE,volatility: +0.26%... This is a good time to buy.
CBOE,volatility: -0.64%... This is a good time to sell.
JBHT,volatility: -0.14%... This is a good time to sell.
CFG,volatility: +0.31%... This is a good time to buy.
PAYC,volatility: -0.74%... This is a good time to sell.
BG,volatility: -0.16%... This is a good time to sell.
BRO,volatility: -0.05%... This is a good time to sell.
LNT,volatility: +0.66%... This is a good time to buy.
LKQ,volatility: -0.37%... This is a good time to sell.
MGM,volatility: +0.32%... This is a good time to buy.
UAL,volatility: +0.62%... This is a good time to buy.
INCY,volatility: +0.43%... This is a good time to buy.
NTAP,volatility: -0.53%... This is a good time to sell.
EXPE,volatility: +0.43%... This is a good time to buy.
RCL,volatility: +0.5%... This is a good time to buy.
PHM,volatility: -0.46%... This is a good time to sell.
PTC,volatility: -0.64%... This is a good time to sell.
ESS,volatility: +0.74%... This is a good time to buy.
ETSY,volatility: -1.24%... This is a good time to sell.
PKG,volatility: +0.24%... This is a good time to buy.
IP,volatility: +0.17%... This is a good time to buy.
WRB,volatility: +0.49%... This is a good time to buy.
MKTX,volatility: -0.93%... This is a good time to sell.
STX,volatility: -0.74%... This is a good time to sell.
POOL,volatility: +0.34%... This is a good time to buy.
SYF,volatility: +0.21%... This is a good time to buy.
LDOS,volatility: +0.5%... This is a good time to buy.
UDR,volatility: +0.62%... This is a good time to buy.
APA,volatility: -0.55%... This is a good time to sell.
TFX,volatility: +0.12%... This is a good time to buy.
AKAM,volatility: -0.17%... This is a good time to sell.
SNA,volatility: -0.34%... This is a good time to sell.
TRMB,volatility: -0.73%... This is a good time to sell.
VTRS,volatility: +1.02%... This is a good time to buy.
EQT,volatility: -0.98%... This is a good time to sell.
PEAK,volatility: -1.16%... This is a good time to sell.
DPZ,volatility: +0.16%... This is a good time to buy.
KIM,volatility: +0.42%... This is a good time to buy.
HRL,volatility: +0.42%... This is a good time to buy.
TECH,volatility: +0.46%... This is a good time to buy.
NI,volatility: +0.35%... This is a good time to buy.
HST,volatility: +0.62%... This is a good time to buy.
CPT,volatility: +0.38%... This is a good time to buy.
HSIC,volatility: +0.27%... This is a good time to buy.
NDSN,volatility: -0.15%... This is a good time to sell.
WYNN,volatility: -0.01%... This is a good time to sell.
WDC,volatility: -0.6%... This is a good time to sell.
CPB,no volatility: 0.0%
CTLT,volatility: -0.13%... This is a good time to sell.
BWA,volatility: -0.11%... This is a good time to sell.
JNPR,volatility: -1.95%... This is a good time to sell.
CHRW,volatility: -0.33%... This is a good time to sell.
SWK,no volatility: 0.0%
L,volatility: +0.27%... This is a good time to buy.
KEY,volatility: +0.09%... This is a good time to buy.
JKHY,no volatility: 0.0%
MAS,volatility: -0.23%... This is a good time to sell.
CE,volatility: -0.61%... This is a good time to sell.
CDAY,volatility: -1.24%... This is a good time to sell.
PARA,volatility: -0.19%... This is a good time to sell.
FOXA,volatility: -1.1%... This is a good time to sell.
MTCH,volatility: -0.86%... This is a good time to sell.
KMX,volatility: +0.11%... This is a good time to buy.
CRL,volatility: -0.08%... This is a good time to sell.
GEN,volatility: -0.06%... This is a good time to sell.
BIO,volatility: -0.26%... This is a good time to sell.
EMN,volatility: -0.45%... This is a good time to sell.
TAP,volatility: +0.46%... This is a good time to buy.
QRVO,volatility: -0.92%... This is a good time to sell.
GL,volatility: -0.13%... This is a good time to sell.
TPR,volatility: -0.89%... This is a good time to sell.
LYV,volatility: -0.12%... This is a good time to sell.
CZR,volatility: -0.07%... This is a good time to sell.
CCL,volatility: +0.62%... This is a good time to buy.
REG,volatility: +0.4%... This is a good time to buy.
AAL,volatility: +0.43%... This is a good time to buy.
PNW,volatility: +0.46%... This is a good time to buy.
ROL,volatility: -0.26%... This is a good time to sell.
ALLE,volatility: -0.18%... This is a good time to sell.
FFIV,volatility: -1.2%... This is a good time to sell.
PNR,volatility: -0.46%... This is a good time to sell.
XRAY,volatility: +1.12%... This is a good time to buy.
AOS,volatility: -0.09%... This is a good time to sell.
UHS,volatility: +0.23%... This is a good time to buy.
RHI,volatility: -0.56%... This is a good time to sell.
HII,volatility: +0.52%... This is a good time to buy.
BBWI,volatility: -0.17%... This is a good time to sell.
NRG,volatility: +0.61%... This is a good time to buy.
WRK,volatility: +0.27%... This is a good time to buy.
BEN,volatility: -0.11%... This is a good time to sell.
BXP,volatility: +0.88%... This is a good time to buy.
AAP,volatility: -0.11%... This is a good time to sell.
VFC,volatility: -0.55%... This is a good time to sell.
FRT,volatility: +0.07%... This is a good time to buy.
IVZ,no volatility: 0.0%
WHR,volatility: +0.25%... This is a good time to buy.
SEE,volatility: -0.02%... This is a good time to sell.
NWSA,volatility: -0.29%... This is a good time to sell.
HAS,volatility: -0.35%... This is a good time to sell.
AIZ,volatility: +0.38%... This is a good time to buy.
GNRC,volatility: -0.99%... This is a good time to sell.
OGN,volatility: +1.27%... This is a good time to buy.
DXC,volatility: +0.08%... This is a good time to buy.
NCLH,volatility: +0.31%... This is a good time to buy.
CMA,volatility: -1.93%... This is a good time to sell.
ALK,volatility: +0.52%... This is a good time to buy.
MHK,volatility: -0.1%... This is a good time to sell.
RL,volatility: -0.7%... This is a good time to sell.
DVA,volatility: +0.49%... This is a good time to buy.
NWL,volatility: +0.91%... This is a good time to buy.
FOX,volatility: -0.84%... This is a good time to sell.
ZION,volatility: -0.45%... This is a good time to sell.
LNC,volatility: +0.24%... This is a good time to buy.
FRC,volatility: -0.07%... This is a good time to sell.
NWS,volatility: -0.06%... This is a good time to sell.
DISH,volatility: +0.12%... This is a good time to buy.
